Exlcluded,depth,min_sample_split,estimators,train,test
,3,2,1,12673.0367278,12719.1261876
,3,3,1,12673.0367278,12719.1261876
,3,4,1,12673.0367278,12719.1261876
,3,5,1,12673.0367278,12719.1261876
,3,6,1,12673.0367278,12719.1261876
Exlcluded,depth,min_sample_split,estimators,train,test
,3,2,1,12673.0367278,12719.1261876
,3,3,1,12673.0367278,12719.1261876
,3,4,1,12673.0367278,12719.1261876
,3,5,1,12673.0367278,12719.1261876
,3,6,1,12673.0367278,12719.1261876
,3,2,31,12665.4261015,12713.1658227
,3,3,31,12665.4261015,12713.1658227
